local,raca,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
0,1,90621281,1286273,13556547,1739481,9523116,32160635,23079663,4955545,16087892,5355161,3329580,3936918,2019814,26674463,5349394,30611382,14,9595624836798,41,738557791859,6,24390563265994,1984733,34869746,3682539,22773941,11663202,5119134,24605,6503587532,7693874,35140823,11339564,6346146,6475069,35523731,1451234,15012214,2219132
0,2,14351162,103713,3844309,12644509,2208798,53877346,6053107,66521855,1954333,11548069,734984,785827931,320655,37694097,1055640,1627689,26,7874414884794,43,1683152552648,11,5636871905664,653178,56429666,1462284,9470963,3260090,58791635,9703,78466104046,1859228,15610846,2888320,50331534,1720643,73909553,379437,889903899,817293
0,3,2105352,68161939,434496,281878368,252326,778778016,686823,60656385,322316,629241148,100431,818418566,47416,2896147683,147848,108033335,20,6376957966094,42,9549734864979,8,86491675765765,67674,7497055786,140791,528292417,363947,903265757,676,779065595057,235280,72794743,343578,489713787,217581,999832107,47035,7506771987,80412
0,4,82820451,5486982,26539118,5851582,13134882,1234967,39674000,7086549,17019716,6295735,6876656,95093789,2822967,95176768,9699624,90270557,32,441606981015,43,710881091015,14,67849793609,4245689,38288316,9340710,11237805,22451115,7699633,63993,579320936,14192544,6517534,21091248,6899365,13414374,6275938,2570488,62822023,4680768
0,5,821500,696299404,542511,22837243,89776,7523837939,632287,980756224,240733,178565277,199157,468125627,18868,6129345042,218026,81060131,66,390466881243,49,8064651891131,32,8917147999428,160608,907235263,225830,942720468,392478,25939419,3376,21390846102,380404,840672679,347659,907764832,449246,133544356,88698,3763048159,37158
1,1,3686144,40760645,1608993,55858406,612499,320499866,2221492,87908393,902750,411509796,467110,53690677,146694,895811514,613804,949502192,43,6497700758512,45,1243474236768,19,6966738986632,244917,48428494,503922,481117407,1250136,15859474,3998,13260524513,1056693,29804204,1476105,98322662,692279,874802022,155312,34935897,263131
1,2,1033503,71989747,586835,679799626,175714,810095274,762550,4898949,172988,7085743,118552,721931088,24561,8410687377,143114,562999826,56,7811869954221,46,61983852268,26,4712976885268,99843,7455677556,210698,868001896,464586,961666055,1994,50578457552,384070,309774867,526219,55823663,270956,59993023,58993,3057564479,95506
1,3,176720,543417846,83273,517304277,31685,9227859381,114958,974516366,36816,9311491193,20710,9227330784,6645,2599486045,27356,1826816829,47,1213194119334,45,4600034502061,21,4213534304476,13758,6067782625,26720,1917139224,63299,270562964,124,804603336301,55694,1084767934,75463,5261855012,35840,4268534081,8642,67460825551,14359
1,4,10659534,9179777,5986430,6276571,1755121,28833029,7741551,35109601,2684296,67126591,1733028,64789485,406032,910476071,2139061,55837092,56,1603307163935,46,9649745216122,26,3756850122073,1014467,41531391,2188634,82311057,4720359,58989269,18054,1856166899,3842872,44222784,5396821,58085387,2853651,20113606,566127,75589475,929943
1,5,305152,89929687,269759,47837719,19437,1424621613,289196,19029988,112508,262474994,105030,683422674,4393,28072773236,109423,964150406,88,4015075564046,52,3007983517194,46,2346942069551,94880,6541220279,109586,593404922,179710,920070058,1494,43525173484,221657,131620533,162081,22740432,237686,460804962,51367,8456141393,10769
2,1,15488291,5932344,4793199,96608619,2546901,71959057,7340101,68567676,3320243,5010238,1308608,95422313,569546,203099551,1878155,15732268,30,9472477143958,42,5851212678427,13,1789229682351,619207,754250473,1585050,35285379,4156164,18532025,8525,92262519387,2477723,6048286,3759121,54782818,2711108,48693232,463851,114475378,821282
