local,sxraca,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
0,1,43426847,18497,6898650,21945199,4683673,41910151,11582323,6385535,8102875,37047987,1658687,12642315,1011717,36926084,2670404,49568399,15,885680617139,41,8055916603556,6,6411027712694,1013171,4220956,1876848,23352567,5941425,65539109,11866,4924273438,3991782,6168183,5785630,7246784,3375820,62339224,762553,62226391,1080721
0,2,47194434,1101481,6657896,95450001,4839442,90250483,11497339,8570048,7985017,16503656,1670892,91294601,1008096,89748379,2678989,81042981,14,1073774482834,41,6690999412742,5,878417208018,971562,306487861,1805690,99421372,5721776,85652548,12739,1579314095,3702091,73458967,5553934,56214876,3099248,73184413,688681,87895817,1138410
0,3,48588682,8930449,15709513,9708784,7671162,55391577,23380676,5247942,9760216,61672722,3938646,32637807,1621575,31306676,5560221,63944483,32,3316316382948,43,7983221162686,14,1607121703857,2565126,4694275,5653516,72179318,13335219,5688042,35970,5408002216,8468646,34624631,12397837,77174,8035166,19558433,1586933,96742253,2743682
0,4,48582930,6660391,14673913,7407237,7672518,10835445,22346431,8490782,9213833,12832716,3672995,41038775,1522048,1564203,5195043,42602978,30,2038463706374,43,4751262090464,13,1311603296211,2333741,47775239,5149478,33768115,12375986,7890765,37726,823181755,7583126,46161636,11581732,1160769,7099852,17110506,1362992,55070144,2754379
1,1,1796831,59777893,811189,876613207,294104,589005912,1105294,46561912,443503,10955826,228266,255339804,71732,4768477936,299998,732187597,45,14557054851,45,2368747703839,20,4224452134048,123817,683126698,253451,678084887,631933,355160185,1958,55766060355,541713,528234313,742550,535020317,362324,623329704,81103,5251351236,128116
1,2,1889312,80982723,797803,681970927,318394,731493954,1116198,41346488,459247,400553969,238843,798350869,74962,4189637204,313806,21731459,42,2271885217293,45,99320022374,19,6428840087,121099,801158239,250470,803032518,618202,803434588,2039,57494464158,514979,769807711,733555,448206323,329955,251472294,74208,8242238464,135015
1,3,5968867,24109446,3434710,38494614,970589,298971117,4405299,68391725,1473414,217546,956768,672366396,222499,779362064,1179268,45172846,57,5437557280356,47,1403990804777,27,1263560960912,589483,805715486,1268039,93320737,2724213,3001831,10009,4802884613,2240048,52631102,3089258,40357616,1691700,4611748,341315,1525462,515609
1,4,5724171,39678253,3138555,35761876,960246,799454329,4098802,15707308,1383871,16229427,894812,697459528,208094,972182745,1102907,66964227,54,8298633996684,46,7084645732632,25,6101873216027,524827,355166149,1131293,75790515,2460733,25137534,10039,2111128042,1986894,22569167,2833782,73551409,1432906,79995442,283806,60125732,509839
2,1,7335420,71397465,2393874,4957818,1221268,84874138,3615142,89831955,1653642,19625836,645156,400140936,282929,221788275,928085,621929211,32,6344478786012,42,7008973781085,13,9352020985538,312401,461432274,801866,313002962,2078393,23870689,3959,87103796105,1258104,14079268,1872348,7119183,1381466,969603,241910,534103732,397863
2,2,8152870,87925988,2399325,91650798,1325632,87084928,3724958,78735726,1666600,85384414,663452,554082159,286616,981311286,950069,535393445,29,429215205795,42,4696082297756,12,4984724029987,306806,292818213,783184,39850856,2077770,94661344,4566,5158723283,1219618,91969028,1886773,47663655,1329642,38997217,221940,580371642,423419
2,3,18191905,5053194,7920256,3106876,3316572,15674895,11236828,4674366,3843317,72656375,1974905,55397986,678228,75017257,2653134,30415243,43,5372551180616,43,7157988237804,19,326588608079,1129253,97564535,2993760,48292156,6833233,88943806,17545,4652269804,4084187,63344224,5910544,64344056,4677541,98316806,792043,780470719,1323291
2,4,18553508,4486679,7498396,54911525,3410700,71461507,10909097,2637303,3622210,17915767,1841462,28325575,639580,44402914,2481042,72728489,40,4149790313842,43,3680886013642,17,5272039145535,1032077,19402809,2726036,86671508,6428909,71200214,18710,9090078486,3717520,68049613,5643526,15415488,4237174,3937082,682164,244018348,1335674
3,1,21048985,118185,1570506,7271648,1527805,663964,3098311,7935612,3633722,12527823,345738,308596429,340688,243054378,686426,551650807,7,46119621366392,40,389669664925,2,98738588729409,269854,100613824,378008,461238201,1388742,33038475,2752,63863370813,980154,247389775,1213724,85562382,687371,70284793,159022,801650565,308346
3,2,23103533,52173,1495984,74641986,1549269,59610191,3045254,34252177,3558817,62387791,345907,276564641,336362,682999659,682269,9595643,6,47513409763602,39,998561725919,2,58996050887897,263106,383244522,370753,913964244,1321494,14704124,2900,98546095772,887347,298852859,1129362,8763489,606490,5957647,143654,195378714,327421
3,3,17545386,8602801,2647140,69128398,2211388,46838899,4858529,15967297,3160877,97244149,622492,890135259,485349,5796204,1107841,9480973,15,873885675139,41,1361414422479,6,20636950107405,538906,784883252,899449,230083335,2323630,76453353,5456,966355272,1332139,87421699,1859385,8663514,1046699,93356105,261939,99282039,626083
3,4,17640547,1837601,2499107,35347669,2182585,57373861,4681692,92721531,3000037,14385138,580088,7148481,453088,241886191,1033176,95673429,14,1668357984801,41,4573764281,5,80846747314438,501269,515728615,852778,510372446,2184007,9413969,5759,96543657587,1194059,29433089,1724061,71271328,921905,132589042,233630,205297912,634343
4,1,10413268,347428,1645536,12646242,1245796,28133997,2891332,40780239,1806969,14740227,332159,255423485,231478,517186165,563637,77260965,15,8023026102109,40,9045368976114,6,46385870186593,239002,11011426,339480,251344781,1446495,26806031,2619,3202857549,929822,774187896,1506350,93700662,740825,671011473,232316,627491879,172196
4,2,11042936,2354758,1527281,77470297,1254336,53927878,2781618,31398175,1745666,29560618,316329,782087809,225411,347771766,541741,129859575,13,830395667744,40,7032042801055,5,62941420138869,218901,955412776,304480,292012172,1341463,62140274,2691,88491238513,836025,665313848,1393066,67569,662407,568803234,205196,724697389,176120
4,3,2895464,37779389,717841,406444943,458180,127308168,1176021,53375311,517828,94652253,159338,512622098,87761,7507111185,247100,263333217,24,7919267095899,42,2874805828554,10,4838811934336,143403,287603056,224255,497595698,626833,427882223,1335,75562163737,290868,369629075,622448,594958329,248428,35953521,91532,9858851264,103238
4,4,2773462,38137685,646717,320723159,438290,983695257,1085008,30441842,485617,565683021,145795,65057507,82718,6004533829,228514,251028453,23,3180491311407,42,913087296851,9,81487204952812,126482,538087654,200160,456758087,560613,39833814,1356,42190863671,243006,733073045,557798,201612254,207527,717895814,78324,3479253036,102572
5,1,2832341,66018076,477544,94081204,394698,693374584,872242,787455788,565038,890584931,107366,906922543,84888,9103842169,192255,81730676,16,8603986162717,40,4037142606042,6,81222728011729,68095,6869225214,104041,529854947,395861,463078861,576,104809316149,281987,926213573,450655,673625055,203832,529242792,48199,5738450804,74198
5,2,3005781,13340415,437500,834897501,391809,164780814,829309,999678315,554684,991154024,106359,501860574,84743,4664373616,191102,968297936,14,5553124289531,40,2708994689609,5,86155523565687,61647,8738541198,96801,9453540307,362845,338033089,540,661026192207,244120,80924957,411176,760281196,170753,515638883,43680,7632242077,76433
5,3,3987058,9085533,989565,177515254,714432,502498619,1703997,68001387,764777,753653264,225140,697274334,147735,974858923,372876,672133256,24,8194270566802,41,761674886799,10,1948694275327,164078,615580386,268011,577985052,827308,186766771,1623,74302761533,521401,942646447,916199,568847092,370795,45814473,100103,100259226,175457
5,4,3891241,25545221,891137,159789241,680694,36851423,1571831,19664066,722097,77340652,210836,64249304,138565,757090571,349401,821339876,22,9011027918309,40,9323086601646,9,37395008133377,149084,874741965,239208,745930549,741722,485963063,1860,31571588974,441645,528024779,822563,312081845,300338,481295319,85067,6933341972,171949
11,1,272392,100348013,133334,265681967,46105,3584136748,179439,624095642,56704,352176455,29120,7134340803,9937,14337401717,39057,8568080975,48,9493878536186,43,533938509983,21,3095964092074,14475,3894343944,23645,7396592441,107695,861290833,218,858545607126,114344,875411766,129618,400197784,70983,4153227933,14849,9030231159,11888
11,2,274141,501763192,125229,524500146,49180,849859733,174410,374359879,57993,9828253072,29737,806356095,10822,5733471446,40560,3797032396,45,6806151913187,43,2733808978736,19,7675466082313,13848,857762386,22415,4365418617,100603,936256914,208,541631880952,105621,7202515,121551,445104428,62490,2108188649,12421,8286829154,12291
11,3,503687,887979147,285859,392495192,89557,4668589888,375416,859354181,107441,437641243,66784,3257108046,17962,5408031547,84746,8665139593,56,7532790280291,44,4447342021169,25,2238440149933,38748,738662477,67296,2452386483,230324,702778916,582,821166305665,236242,142128992,276053,63492566,133832,316294927,28089,8139396972,30019
