local,sexo,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
0,1,93406989,9999899,23093210,1269809,12514237,112224,35607447,2392048,18152036,5502325,5749712,47654722,2667569,42541304,8417281,90196025,24,7232141052649,43,2720457310344,10,6982405138118,3693816,14614204,7714783,73120226,19652515,801631,49697,3280513633,12773872,8647755,18524330,2668734,11752194,7791364,2418871,327152,3878311
0,2,97348809,18,21825077,9394755,12698389,1960775,34523467,1355529,17477398,975686,5491476,74304959,2563152,5141749,8054629,25722448,22,4194606628162,42,9905433652828,9,6382479585105,3419352,79110185,7137376,95983153,18478345,5713272,52658,6792634223,11588120,8374534,17486532,1249312,10525273,5711,2118075,6546524,3956456
1,1,8004915,77,4425006,22222471,1288499,91993615,5713506,14216087,1993383,3813134,1249282,1751501,299809,246734857,1549091,42188496,55,278615978112,46,9472298492766,25,9517789007432,768658,600804317,1591754,58781393,3480404,85578864,12756,1729275059,2923814,82240069,3951560,4121093,2195883,90995403,453166,575458405,656057
1,2,7859539,51,4110346,78045351,1306158,70984524,5416505,49029875,1916208,63268495,1195150,85452224,288586,543697334,1483737,39821957,52,2975556257593,46,5338583524706,24,3360704566953,699254,55071972,1447808,36953481,3197704,89714932,12909,8909340759,2637172,46774131,3685193,43665691,1894530,1136356,387277,355774142,657653
2,1,25909046,18,10482235,3274246,4604375,83375227,15086611,1611769,5582766,96376509,2666226,36660486,975348,573397871,3641574,94000274,40,4578205134371,43,496126959125,17,5975849754195,1467488,30262483,3860296,77123898,9054533,9681889,21942,4661044815,5432900,64729257,7898541,82956538,6169092,77823427,1055107,97355902,1745811
2,2,27172903,9999989,10076959,5639765,4817533,285125,14894492,5668277,5373247,20285964,2550274,8508238,939718,709457928,3489992,79454031,37,845882500335,43,1621524244394,16,65065064552,1364991,21169206,3576246,89585454,8657801,65993298,23780,5445827975,5026754,36194467,7657339,74793847,5675919,57489782,924119,729386558,1790155
3,1,39076647,53,4258024,14998453,3772748,46659233,8030772,61657685,6859583,450252,978300,220996089,832946,831986355,1811247,5298244,10,8965954780715,40,7370873910574,4,43895562255198,817187,4391588,1290618,36109229,3746178,61277725,8267,7789973717,2335806,44399438,3102706,22945169,1753480,64486927,425304,223667995,942530
3,2,41287763,11,4037683,11462895,3771402,80015192,7809085,91478086,6620887,50573876,935516,333807413,796166,786644158,1731683,12045157,9,77937001486091,40,6338873190672,3,97373819235323,773362,8972156,1237613,9387433,3541646,98808753,8749,25293275481,2104236,58634118,2883443,37585637,1546962,33883163,381604,339483724,971741
4,1,13436411,1,2398080,66125344,1717394,51311073,4115475,17436417,2346728,85446831,501110,786122884,321818,873279165,822929,659402049,17,8476280701254,41,3836483954889,7,38599964747527,390499,84465266,575790,19588485,2101124,71953843,3998,52768810876,1238489,84196854,2157859,18204827,1011007,91062572,328740,281114666,278209
4,2,13950480,2,2207796,9986165,1706760,30915285,3914556,4090145,2252436,66488143,471408,358947067,310729,65430234,782138,13249407,15,8259507906655,41,1781372829367,6,51683174291022,352851,21315918,515948,640639139,1929121,73428495,4153,25988472709,1095456,34777367,1979321,91400741,890467,350685491,288031,399445735,281697
5,1,6979970,99999963,1529863,76609297,1131218,37883208,2661082,14492505,1369574,30566033,354792,927672988,237645,900014765,592438,827687753,21,9179100614179,41,1220884162411,9,1310235444848,249982,719088982,396323,991468076,1270272,92386984,2732,38233389574,842861,109119325,1413662,98459621,622729,53545332,156552,273351961,255703
5,2,7078122,99999943,1392292,38055439,1096534,37407635,2488826,75463074,1314618,96952123,339127,110690299,227950,820073125,567077,930763423,19,6703614864351,40,9962083148709,8,6410237126709,228894,413300469,359759,959928548,1152070,2918708,3065,73092906715,724501,73652971,1281233,65047146,517394,193050353,137042,830562295,255209
11,1,795156,999999987,429979,968399247,137844,633396782,567824,601796029,168547,628708187,98900,4751185214,28441,2634117758,127341,738530297,54,748516832845,44,2932873783206,23,9515294554778,55732,7816327266,94991,3804395374,346268,371245724,890,303135868499,360398,587052621,415557,532736224,212088,395899039,44817,4392523891,42653
11,2,767252,11,393671,373385926,141451,406011048,535122,779396974,160289,751707275,92420,74698477,28444,7605481974,120864,768018045,51,3092664973073,43,8702899226846,22,5095239695716,48638,1987715536,83914,3901418921,313410,26841899,1045,3478150199,326173,625936308,381255,196936735,180051,105915116,37959,4777484898,43607
12,1,368324,5,210732,605351416,58474,8198370144,269207,425188431,99861,158593341,65519,9375658645,14560,9235314076,80080,8610972722,57,2139218056421,46,9215182551179,26,8456407645033,43519,2706908961,60462,7544636801,160343,271872215,518,227875224401,150595,973614341,165859,319172621,104183,201613682,20862,5610302869,25496
12,2,365235,9,198839,293883833,61044,3799901444,259883,673873978,96350,7087646164,63260,7849819212,13671,4322416732,76932,2172235943,54,4414675164835,46,3488429460815,25,2329902767569,40955,1855177978,54699,2057757401,149971,722792762,526,91286920509,137136,518857822,158567,408856914,89915,411762481,17386,114806153,25768
13,1,1753179,5,890889,172539021,258259,156520182,1149148,3290592,470027,71021237,280842,152776626,67190,6414541154,348032,794230742,50,8156424722745,48,316956030543,24,5525716299668,208027,293684482,351857,529047475,674314,41744304,3355,25340571181,522619,745630657,733492,56827683,440745,292622168,107617,406552762,143611
13,2,1730806,5,829457,438316136,260045,43533681,1089502,87365295,452408,953531663,271201,56443253,62845,9889746587,334047,45417912,47,9231894456173,47,8868203692721,22,9488916450487,191426,844218021,321827,514977401,623695,52538399,3300,8780162685,469673,656658521,683377,606227309,387239,803741488,93645,7473325472,141650
